Date,Open Price,High_Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
03-Jun-21,17670,17850,17557.45,17795.7,17699.00997,1304,733,23079509,558,42.79,292.55,125.7
02-Jun-21,17633.65,17808,17520,17645.85,17660.30174,3155,1547,55718252,1538,48.75,288,12.2
01-Jun-21,17600,17800,17500,17765.5,17706.96394,1969,841,34865012,908,46.11,300,165.5
31-May-21,17510,17740.95,17421,17692.7,17642.08436,1861,842,32831919,550,29.55,319.95,182.7
28-May-21,17620,17829.2,17475.95,17507.6,17611.12767,2812,1441,49522491,1260,44.81,353.25,-112.4
27-May-21,17530,17894,17431.2,17772.55,17636.61047,1471,694,25943454,814,55.34,462.8,242.55
26-May-21,17525,17590.45,17370.05,17526.8,17485.96365,2091,979,36563150,806,38.55,220.4,1.8
25-May-21,17510,17750,17450,17529,17640.65946,4951,2275,87338905,1964,39.67,300,19
24-May-21,17450,17577.6,17310.25,17375.75,17441.95203,2585,975,45087446,780,30.17,267.35,-74.25
21-May-21,17350,17550,17279.25,17491.95,17432.93483,1872,914,32634454,642,34.29,270.75,141.95
20-May-21,17480,17500,17217.75,17277.1,17284.06148,2147,810,37108880,400,18.63,282.25,-202.9
19-May-21,17200,17467.75,17200,17444.25,17398.90968,2757,955,47968794,1094,39.68,267.75,244.25
18-May-21,17035,17248.6,17035,17173.85,17131.19448,1630,646,27923847,713,43.74,213.6,138.85
17-May-21,17250,17281.1,17004.05,17037,17111.59536,1725,685,29517502,428,24.81,277.05,-213
14-May-21,16750,17250,16714,17217.55,17046.52712,3356,1119,57208145,1459,43.47,536,467.55
12-May-21,16939.95,16939.95,16621,16713.75,16684.70449,2318,1013,38675145,1022,44.09,318.95,-226.2
11-May-21,16760,16945.55,16707,16870.95,16787.57015,1340,565,22495344,502,37.46,238.55,110.95
10-May-21,16767,16844.4,16673.6,16763.6,16772.70639,1989,676,33360913,537,27,170.8,-3.4
07-May-21,16780,16795,16660.1,16753.55,16742.75992,2470,1036,41354617,1557,63.04,134.9,-26.45
06-May-21,16588,16767,16561.2,16727,16681.47404,3968,1352,66192089,2800,70.56,205.8,139
05-May-21,16585,16602,16457.8,16550.2,16533.95707,792,359,13094894,288,36.36,144.2,-34.8
04-May-21,16564.8,16627.5,16391.5,16538.1,16542.24963,2003,543,33134126,808,40.34,236,-26.7
03-May-21,16352,16570,16267.05,16500.7,16473.9662,3965,1408,65319276,1642,41.41,302.95,148.7
30-Apr-21,16510,16567.75,16271.45,16311.1,16392.44736,4122,1840,67569668,2358,57.21,296.3,-198.9
29-Apr-21,16697,16709.95,16490,16506.95,16540.96692,2328,976,38507371,1260,54.12,219.95,-190.05
28-Apr-21,16849,16849,16601.35,16622,16669.70175,23031,1484,383919901,20931,90.88,247.65,-227
27-Apr-21,16870,16910.05,16755.15,16783.2,16809.13114,1609,435,27045892,448,27.84,154.9,-86.8
26-Apr-21,16800.05,16887.9,16700,16866.45,16815.76283,1948,549,32757106,422,21.66,187.9,66.4
23-Apr-21,16850,16850,16580,16624.45,16665.58685,3178,869,52963235,1997,62.84,270,-225.55
22-Apr-21,17199,17199,16552.6,16778.65,16847.63559,11575,2556,195011382,2431,21,646.4,-420.35
20-Apr-21,17302.2,17371.5,16885.5,17086.25,17111.91142,3872,1576,66257321,1111,28.69,486,-215.95
19-Apr-21,17239.5,17239.5,16952.1,17090.35,17083.17551,1282,538,21900631,479,37.36,287.4,-149.15
16-Apr-21,17000,17328,16870.2,17238.1,17081.10958,1743,643,29772374,650,37.29,457.8,238.1
15-Apr-21,17490,17490,16775,16871.9,16990.34698,2712,1053,46077821,946,34.88,715,-618.1
13-Apr-21,17450.05,17597.2,17040.2,17162.15,17231.82302,1729,704,29793822,562,32.5,557,-287.9
12-Apr-21,17401.3,17620.7,17341.6,17495.7,17497.06202,2886,797,50496521,1180,40.89,279.1,94.4
09-Apr-21,17554.7,17848,17518.3,17580.6,17649.75405,2037,777,35952549,398,19.54,329.7,25.9
08-Apr-21,17421,17750,17322.45,17667.9,17465.84645,21342,2272,372756095,18545,86.89,427.55,246.9
07-Apr-21,17080,17863.85,17050,17420.65,17455.52535,5029,1650,87783837,1514,30.11,813.85,340.65
